DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Italy,2024,15.78,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Lithuania,2024,15.01,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Luxembourg,2024,16.67,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Latvia,2024,15.03,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Montenegro,2024,22.30,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Malta,2024,28.71,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Netherlands,2024,25.75,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Norway,2024,12.50,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Poland,2024,32.47,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Portugal,2024,12.66,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Romania,2024,27.36,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Serbia,2024,12.28,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Sweden,2024,20.40,b,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Slovenia,2024,11.56,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Slovakia,2024,12.29,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Türkiye,2024,22.36,,
