DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Latvia,2024,17.99,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Montenegro,2024,32.55,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Malta,2024,34.11,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Netherlands,2024,29.73,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Norway,2024,20.80,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Poland,2024,25.99,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Portugal,2024,20.56,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Romania,2024,13.16,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Serbia,2024,25.19,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Sweden,2024,21.60,b,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Slovenia,2024,17.71,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Slovakia,2024,17.25,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Türkiye,2024,13.37,,
