geo,VO,D1_specialisti,D2_formazione,MFA,BACKUP,VPN,D3_hardening,Z_D1,Z_D2,Z_D3,Z_VO,MD,Gruppo_descrittivo
Estonia,21.01,19.22,21.05,44.21,77.65,47.3,56.38666666666667,-0.4712531701846721,-0.27979531095454735,0.20485818444569218,0.15502519130415984,-0.18206343223117577,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Denmark,19.02,30.94,35.23,62.78,92.37,63.83,72.99333333333334,1.448954828440583,1.5269584882031113,1.6500172898855767,-0.11033012977811145,1.5419768688430904,"Best performers (Alta maturità, Bassa vulnerabilità)"
Malta,28.71,34.11,31.12,46.49,83.78,64.56,64.94333333333333,1.968328493597755,1.0032802008591077,0.94948352038792,1.1817769361953592,1.3070307382815942,"Alta maturità, Alta vulnerabilità"
Hungary,13.69,29.34,18.9,40.51,63.39,37.68,47.193333333333335,1.1868103917681931,-0.5537389405870559,-0.595171685647283,-0.8210556882547468,0.012633255177951441,"Best performers (Alta maturità, Bassa vulnerabilità)"
Cyprus,12.91,27.48,29.94,13.98,89.98,67.34,57.1,0.8820674841365401,0.8529297436654519,0.26693446878213023,-0.9250643065684008,0.6673105655280407,"Best performers (Alta maturità, Bassa vulnerabilità)"
France,24.95,15.94,13.07,31.0,78.69,44.41,51.36666666666666,-1.008649265363071,-1.2965721316370664,-0.231996414669617,0.6804020581705654,-0.8457392705565847,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Italy,15.78,12.44,17.85,37.37,79.53,42.18,53.02666666666667,-1.5820902205839236,-0.6875253643610713,-0.08753851934463365,-0.5423659289271356,-0.7857180347632094,"Bassa maturità, Bassa vulnerabilità"
Czechia,26.61,20.2,26.74,36.57,78.66,54.84,56.69,-0.3106897027228333,0.4451996902589277,0.23125510909342942,0.9017537330432137,0.12192169887650794,"Alta maturità, Alta vulnerabilità"
Slovakia,12.29,17.25,18.5,37.2,73.17,44.96,51.77666666666667,-0.7940185078375518,-0.6047051972628712,-0.1963170549809156,-1.0077378236895105,-0.5316802533604461,"Bassa maturità, Bassa vulnerabilità"
Finland,42.2,30.51,38.33,79.4,84.29,56.37,73.35333333333332,1.3785035110848785,1.9219469774406814,1.6813455081488247,2.9805926554917592,1.6605986655581282,"Alta maturità, Alta vulnerabilità"
Croatia,26.1,15.89,20.44,2.11,78.31,35.37,38.596666666666664,-1.016841279009083,-0.35751885238516595,-1.343277934729873,0.8337480979919787,-0.9058793553747073,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Ireland,13.32,30.28,21.58,43.79,61.98,36.45,47.406666666666666,1.3408202483132223,-0.21226502085909216,-0.5766068155653576,-0.8703931097625057,0.18398280396292416,"Best performers (Alta maturità, Bassa vulnerabilità)"
Poland,32.47,25.99,31.39,43.97,71.1,44.9,53.32333333333333,0.6379454774853769,1.037682424115283,-0.06172174688695667,1.6831518142201525,0.537968718237901,"Alta maturità, Alta vulnerabilità"
Germany,25.07,22.86,26.41,44.09,90.07,64.33,66.16333333333333,0.12512542324501466,0.4031525285013801,1.055651371168931,0.6964033840649739,0.5279764409717753,"Alta maturità, Alta vulnerabilità"
Lithuania,15.01,16.12,13.24,27.98,67.3,29.47,41.58333333333333,-0.9791580162374268,-1.274911472549845,-1.0833697535829168,-0.6450411034162555,-1.1124797474567294,"Bassa maturità, Bassa vulnerabilità"
Portugal,12.66,20.56,27.79,35.57,75.02,47.41,52.666666666666664,-0.2517072044715457,0.5789861140329434,-0.11886673760788341,-0.9584004021817514,0.06947072398450477,"Best performers (Alta maturità, Bassa vulnerabilità)"
Luxembourg,16.67,23.35,24.84,43.95,77.82,42.84,54.870000000000005,0.20540715697593434,0.2031099710488043,0.07287356120700349,-0.4236894285436071,0.16046356307724735,"Best performers (Alta maturità, Bassa vulnerabilità)"
Spain,15.88,14.57,21.22,30.65,80.1,45.39,52.04666666666666,-1.2331104392638046,-0.25813465186732604,-0.17282089128347966,-0.5290314906817952,-0.55468866080487,"Bassa maturità, Bassa vulnerabilità"
Greece,15.56,22.53,13.27,27.72,54.73,30.21,37.55333333333333,0.07105813318133454,-1.2710890032991589,-1.4340717524742899,-0.571701693066884,-0.8780342075307047,"Bassa maturità, Bassa vulnerabilità"
Latvia,15.03,17.99,14.54,29.28,60.48,30.12,39.959999999999994,-0.6727767058765718,-1.1092711383534446,-1.2246368118625686,-0.6423742157671876,-1.0022282186975282,"Bassa maturità, Bassa vulnerabilità"
Austria,11.52,19.91,19.92,40.83,90.51,63.64,64.99333333333334,-0.3582033818697038,-0.423774986063726,0.9538346618133723,-1.1104129981786304,0.05728543129331416,"Best performers (Alta maturità, Bassa vulnerabilità)"
Romania,27.36,13.16,11.99,23.81,48.08,30.27,34.05333333333333,-1.464125224081348,-1.4341810246617683,-1.7386516522558795,1.0017620198832655,-1.5456526336663319,"Vulnerabili (Bassa maturità, Alta vulnerabilità)"
Belgium,22.28,29.11,36.83,59.0,86.99,61.75,69.24666666666667,1.149127128996537,1.7308235149063735,1.3239717590717608,0.32437255701998097,1.4013074676582236,"Alta maturità, Alta vulnerabilità"
Bulgaria,12.07,17.81,9.11,29.77,54.64,27.66,37.35666666666666,-0.7022679550022156,-1.80113807272764,-1.4511862420810648,-1.037073587829259,-1.3181974232703069,"Bassa maturità, Bassa vulnerabilità"
Netherlands,25.75,29.73,26.57,78.4,87.28,59.28,74.98666666666666,1.2507080982070882,0.4235390311717063,1.823482794713567,0.7870775641332876,1.1659099746974537,"Alta maturità, Alta vulnerabilità"
Sweden,20.4,21.6,30.83,46.5,85.54,53.24,61.760000000000005,-0.08131332063449194,0.9663296647691411,0.6724608496341896,0.0736851180075839,0.5191590645896129,"Alta maturità, Alta vulnerabilità"
Slovenia,11.56,17.71,26.94,32.45,68.33,41.67,47.48333333333333,-0.7186519822942395,0.4706828185968358,-0.5699350653796662,-1.1050792228804942,-0.27263474302568996,"Bassa maturità, Bassa vulnerabilità"
